State ID,State,Electoral Votes,Vote Weight,Turnout
1,Wyoming,3,2.97,59.40%
2,District of Columbia,3,2.45,60.20%
3,Vermont,3,2.42,63.50%
4,Alaska,3,2.39,61.30%
5,Hawaii,4,2.37,41.70%
6,North Dakota,3,2.21,59.10%
7,Rhode Island,4,2.19,59.00%
8,South Dakota,3,2.06,58.50%
9,West Virginia,5,1.78,49.90%
10,Delaware,3,1.72,63.70%
11,New Mexico,5,1.59,54.70%
12,Montana,3,1.54,61.50%
13,Nebraska,5,1.5,62.40%
14,Idaho,4,1.47,59.40%
15,New Hampshire,4,1.36,71.50%
16,Maine,4,1.36,70.70%
17,Nevada,6,1.35,57.10%
18,Arkansas,6,1.35,52.60%
19,Utah,6,1.35,56.80%
20,Kansas,6,1.29,57.30%
21,Mississippi,6,1.26,55.50%
22,Oklahoma,7,1.22,52.00%
23,Tennessee,11,1.11,51.20%
24,South Carolina,9,1.09,56.80%
25,Arizona,11,1.08,54.30%
26,Connecticut,7,1.08,63.90%
27,Alabama,9,1.08,58.90%
28,Texas,38,1.07,51.20%
29,Kentucky,8,1.05,58.70%
30,Indiana,11,1.02,56.30%
31,Louisiana,8,1,59.80%
32,Georgia,16,0.99,58.80%
33,California,55,0.98,56.10%
34,Iowa,6,0.97,68.20%
35,New York,29,0.97,55.70%
36,Washington,12,0.92,64.70%
37,New Jersey,14,0.92,63.60%
38,Illinois,20,0.92,61.60%
39,Maryland,10,0.91,66.20%
40,Missouri,10,0.9,62.10%
41,Oregon,7,0.89,66.60%
42,Minnesota,10,0.86,74.10%
43,Wisconsin,10,0.85,69.30%
44,Michigan,16,0.85,64.60%
45,Massachusetts,11,0.84,66.80%
46,Ohio,18,0.83,62.80%
47,Pennsylvania,20,0.83,62.80%
48,Virginia,13,0.83,65.70%
49,Colorado,9,0.82,69.90%
50,North Carolina,15,0.8,64.80%
51,Florida,29,0.78,64.50%
